VARIETY,ROW,PLANT,year,month,day,Leaf_potential,Stem_potential,Leaf_area1,Leaf_area2,leaf_weight1_mg,Leaf_weight2_mg,L1stom_length_1,L1stom_length_2,L1stom_length_3,L1stom_length_4,L1stom_length_5,L1image_area,L1stom_number,L2stom_length_1,L2stom_length_2,L2stom_length_3,L2stom_length_4,L2stom_length_5,L2image_area,L2stom_number
Cabernet_sauvignon,14,2,2015,6,17,7,6,,,725,554,,,,,,,,,,,,,,
Cabernet_sauvignon,14,2,2015,6,19,7.2,6,,,643,541,27.42,23.327,22.679,18.44,16.27,585630.249,71,25.798,17.657,24.331,17.333,19.007,585630.249,30
Carmenere,14,3,2015,6,15,6.9,5.1,,,840,608,,,,,,,,,,,,,,
Carmenere,14,3,2015,6,19,7.4,5.7,,,554,611,24.427,23.251,22.713,21.958,24.473,585630.249,52,,,,,,,
Carmenere,14,3,2015,8,4,7.2,4.6,,,,,,,,,,,,,,,,,,
Carmenere,14,3,2015,8,6,9.5,5.5,,,,,28.315,22.497,30.033,26.292,25.041,584388.192,53,23.086,20.733,30.567,29.695,27.375,584388.192,
Carmenere,14,4,2015,6,16,6.1,4.5,,,1625,586,,,,,,,,,,,,,,
Carmenere,14,4,2015,6,17,7.6,4.8,,,564,636,,,,,,,,,,,,,,
Carmenere,14,4,2015,8,5,10.7,8,,,,,,,,,,,,,,,,,,
Carmenere,14,4,2015,8,7,7.5,5.5,,,,,29.768,27.62,27.151,28.372,32.154,584388.192,32,26.984,23.7,23.928,21.369,26.967,585630.249,50
Merlot,15,3,2015,4,16,7.75,4.5,,,632,,,,,,,,,,,,,,,
Merlot,15,3,2015,4,20,,,26.899,,721,,,,,,,,,,,,,,,
Merlot,15,3,2015,4,21,5.2,3.1,35.12,,1048,,,,,,,,,,,,,,,
Merlot,15,3,2015,4,24,6,3.4,26.099,,804,,,,,,,,,,,,,,,
Merlot,15,3,2015,6,15,8.65,4.8,,,1046,551,23.064,18.638,24.574,20.112,19.437,585630.249,37,,,,,,,
Merlot,15,3,2015,6,19,9,6.2,,,1255,632,21.963,20.683,20.404,20.084,22.638,585630.249,65,18.359,15.724,22.884,23.499,15.288,585630.249,56
Merlot,15,3,2015,8,4,8.5,5.8,,,,,,,,,,,,,,,,,,
