"month","day","row_plant","variety","Photo","Cond","wue"
4,21,"12.3","Auxerrois",17,0.376,45.2127659574468
4,21,"12.5","Chardonnay",13.4,0.187,71.6577540106952
4,21,"12.5","Chardonnay",13.5,0.19,71.0526315789474
4,21,"12.5","Chardonnay",13.8,0.194,71.1340206185567
4,21,"12.5","Chardonnay",14.1,0.195,72.3076923076923
4,21,"12.5","Chardonnay",13.8,0.197,70.0507614213198
4,21,"12.5","Chardonnay",14.2,0.198,71.7171717171717
4,21,"13.1","Pinot_blanc",14.8,0.206,71.8446601941748
4,21,"13.1","Pinot_blanc",15.1,0.212,71.2264150943396
4,21,"13.1","Pinot_blanc",14.9,0.216,68.9814814814815
4,21,"13.1","Pinot_blanc",15.9,0.235,67.6595744680851
4,21,"13.1","Pinot_blanc",15.5,0.235,65.9574468085106
4,21,"13.1","Pinot_blanc",15.6,0.236,66.1016949152542
4,21,"13.1","Pinot_blanc",15.6,0.236,66.1016949152542
4,23,"13.10","Cabernet_franc",14.7,0.153,96.078431372549
4,23,"13.10","Cabernet_franc",14.8,0.16,92.5
4,23,"13.10","Cabernet_franc",15,0.163,92.0245398773006
4,23,"13.10","Cabernet_franc",15,0.165,90.9090909090909
4,23,"13.10","Cabernet_franc",14.9,0.168,88.6904761904762
4,23,"13.10","Cabernet_franc",14.9,0.169,88.1656804733728
4,23,"13.10","Cabernet_franc",15.1,0.169,89.3491124260355
4,23,"13.10","Cabernet_franc",15.2,0.17,89.4117647058823
4,23,"13.10","Cabernet_franc",15.1,0.171,88.3040935672515
4,23,"13.10","Cabernet_franc",15,0.177,84.7457627118644
4,23,"13.10","Cabernet_franc",15,0.176,85.2272727272727
4,21,"13.3","Pinot_gris",12.7,0.145,87.5862068965517
4,21,"13.3","Pinot_gris",12.8,0.147,87.0748299319728
4,21,"13.3","Pinot_gris",13,0.149,87.248322147651
4,21,"13.3","Pinot_gris",13,0.15,86.6666666666667
4,21,"13.3","Pinot_gris",13,0.151,86.0927152317881
4,21,"13.3","Pinot_gris",13.1,0.149,87.9194630872483
4,21,"13.3","Pinot_gris",13.1,0.15,87.3333333333333
4,21,"13.8","Pinot_noir",17.3,0.271,63.8376383763838
4,21,"13.8","Pinot_noir",17.7,0.277,63.898916967509
4,21,"13.8","Pinot_noir",17.6,0.284,61.9718309859155
4,21,"13.8","Pinot_noir",17.6,0.284,61.9718309859155
4,21,"13.8","Pinot_noir",17.7,0.289,61.2456747404844
4,21,"13.8","Pinot_noir",17.6,0.289,60.8996539792388
4,21,"13.8","Pinot_noir",17.5,0.291,60.1374570446735
4,21,"13.8","Pinot_noir",17.7,0.29,61.0344827586207
4,21,"13.8","Pinot_noir",17.7,0.291,60.8247422680412
4,21,"13.8","Pinot_noir",17.3,0.286,60.4895104895105
4,21,"13.8","Pinot_noir",17.4,0.286,60.8391608391608
4,21,"13.8","Pinot_noir",17.7,0.284,62.3239436619718
4,21,"13.8","Pinot_noir",17.8,0.284,62.6760563380282
4,21,"13.8","Pinot_noir",17.5,0.284,61.6197183098592
4,21,"13.9","Cabernet_franc",13.3,0.149,89.261744966443
4,21,"13.9","Cabernet_franc",13.1,0.152,86.1842105263158
4,21,"13.9","Cabernet_franc",13.1,0.155,84.5161290322581
4,21,"13.9","Cabernet_franc",13.2,0.155,85.1612903225806
4,21,"13.9","Cabernet_franc",13.1,0.157,83.4394904458599
4,21,"13.9","Cabernet_franc",13.1,0.157,83.4394904458599
4,21,"14.1","Cabernet_sauvignon",9.54,0.103,92.621359223301
4,21,"14.1","Cabernet_sauvignon",9.59,0.106,90.4716981132076
4,21,"14.1","Cabernet_sauvignon",9.81,0.109,90
4,21,"14.1","Cabernet_sauvignon",9.87,0.11,89.7272727272727
4,21,"14.1","Cabernet_sauvignon",9.91,0.112,88.4821428571429
4,21,"14.1","Cabernet_sauvignon",9.82,0.113,86.9026548672566
4,21,"14.1","Cabernet_sauvignon",9.86,0.114,86.4912280701754
4,21,"14.1","Cabernet_sauvignon",9.96,0.113,88.141592920354
4,21,"14.1","Cabernet_sauvignon",9.82,0.114,86.140350877193
4,21,"14.1","Cabernet_sauvignon",10.2,0.119,85.7142857142857
4,21,"14.1","Cabernet_sauvignon",10,0.12,83.3333333333333
4,21,"26.5","Sangiovese",11.8,0.167,70.6586826347305
4,21,"26.5","Sangiovese",11.9,0.169,70.414201183432
4,21,"26.5","Sangiovese",12,0.17,70.5882352941176
4,21,"26.5","Sangiovese",11.7,0.171,68.4210526315789
4,21,"34.5","Morrastel",13.9,0.251,55.3784860557769
4,21,"34.5","Morrastel",14,0.256,54.6875
4,21,"34.5","Morrastel",14.1,0.259,54.4401544401544
4,21,"34.5","Morrastel",14.2,0.258,55.0387596899225
4,21,"34.5","Morrastel",14,0.259,54.054054054054
4,21,"34.5","Morrastel",14.1,0.262,53.8167938931298
4,21,"34.7","Palomino",16.6,0.35,47.4285714285714
4,21,"34.7","Palomino",16.7,0.354,47.1751412429379
4,21,"34.7","Palomino",16.8,0.357,47.0588235294118
4,21,"34.7","Palomino",16.6,0.358,46.3687150837989
4,21,"34.7","Palomino",16.8,0.311,54.0192926045016
4,21,"34.7","Palomino",17.2,0.31,55.4838709677419
4,21,"34.7","Palomino",17,0.312,54.4871794871795
4,21,"39.3","Calzin",14,0.208,67.3076923076923
4,21,"39.3","Calzin",13.9,0.211,65.8767772511848
